GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS259410974	2019-03-20 22:15:03	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-12	07:25:00	obsr226527	S18767137	Traveling	P22	EBIRD	80	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS260356122	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-19	06:35:00	obsr226527	S18833416	Traveling	P22	EBIRD	80	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS261682421	2019-03-20 22:15:03	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-29	08:25:00	obsr226527	S18942035	Traveling	P22	EBIRD	60	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS260737701	2021-03-24 10:14:17.831725	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-22	07:50:00	obsr226527	S18860653	Traveling	P22	EBIRD	95	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259006406	2019-03-20 22:15:03	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-09	07:35:00	obsr226527	S18737901	Traveling	P22	EBIRD	50	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS329620577	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2	S 	C2	S 		United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2015-06-30	07:48:00	obsr158314	S24107307	Traveling	P22	EBIRD	120	3.219		2	1	G1375928	0	1	0			heard only (singing)	
URN:CornellLabOfOrnithology:EBIRD:OBS336302042	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2	S 	C2	S 		United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2015-06-30	07:48:00	obsr224249	S24601310	Traveling	P22	EBIRD	120	3.219		2	1	G1375928	0	1	0			heard only (singing)	
URN:CornellLabOfOrnithology:EBIRD:OBS325523971	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2015-06-07	09:05:00	obsr226527	S23811089	Traveling	P22	EBIRD	95	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS324954902	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2015-06-04	08:00:00	obsr226527	S23772682	Traveling	P22	EBIRD	110	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS774990018	2021-03-19 03:47:45.526909	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2019-06-14	17:07:00	obsr127114	S57375678	Traveling	P22	EBIRD	37	0.901		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1454622810	2022-06-08 15:54:11.043132	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Bartram State Forrest	L1160171	P	33.0213125	-83.2048273	2022-06-08	10:00:00	obsr98228	S112467326	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259120240	2014-06-09 22:23:42	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Hudson R.@Louden Ridge Rd.	L2911561	P	34.4099000	-83.5681000	2014-06-07	08:55:00	obsr91755	S18745799	Stationary	P21	EBIRD	9			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259120283	2018-08-06 17:38:41	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Banks	US-GA-011		29			unnamed creek@Soapstone Rd.	L2911545	P	34.4501000	-83.4658000	2014-06-07	15:28:00	obsr91755	S18745802	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS263368388	2018-08-06 17:38:47	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			156 Wynn Lake Circle, Alto, GA	L300003	P	34.4318257	-83.5486265	2014-06-17	08:17:00	obsr99078	S19073836	Stationary	P21	EBIRD	540			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259120243	2018-08-06 17:38:40	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Hudson R.@Wynn Lake Rd.	L2911543	P	34.4255000	-83.5478000	2014-06-07	08:30:00	obsr91755	S18745800	Stationary	P21	EBIRD	15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259120324	2021-08-17 17:00:45.753567	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				3					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Wilson Shoals WMA	L3102647	H	34.4068348	-83.5888124	2014-06-07	05:47:00	obsr91755	S18745805	Traveling	P22	EBIRD	124	14.806		1	1		0	1	0		Most roads except Grant Mill were gated. Most mileage was via vehicle.		
URN:CornellLabOfOrnithology:EBIRD:OBS325517190	2015-06-07 09:55:48	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Garland White Rd. at unnamed creek	L3702734	P	34.4175328	-83.6053884	2015-06-07	05:59:00	obsr183378	S23810706	Stationary	P21	EBIRD	2			2	1		0	1	0		Clagging after the Nightjar Survey.		
URN:CornellLabOfOrnithology:EBIRD:OBS326934338	2017-06-21 23:13:01	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2	S 	C2	S 		United States	US	Georgia	US-GA	Banks	US-GA-011		29			Mt Pleasant Church, 1486 GA-51, Homer	L3722209	P	34.3632800	-83.4418917	2015-06-14	16:29:00	obsr158314	S23910766	Stationary	P21	EBIRD	8			1	1		0	1	0			heard only (singing)	
URN:CornellLabOfOrnithology:EBIRD:OBS325747279	2018-08-06 17:41:08	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				8					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Wilson Shoals WMA	L3102647	H	34.4068348	-83.5888124	2015-06-07	06:04:00	obsr197702	S23825970	Traveling	P22	EBIRD	104	4.506		2	1	G1307422	0	1	0		Clagging after the Nightjar Survey.  We drove about 2.5 miles one way and walked the rest.		
URN:CornellLabOfOrnithology:EBIRD:OBS325518628	2018-08-06 17:41:08	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				8					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Wilson Shoals WMA	L3102647	H	34.4068348	-83.5888124	2015-06-07	06:04:00	obsr183378	S23810774	Traveling	P22	EBIRD	104	4.506		2	1	G1307422	0	1	0		Clagging after the Nightjar Survey.  We drove about 2.5 miles one way and walked the rest.		
URN:CornellLabOfOrnithology:EBIRD:OBS409339586	2017-06-21 23:11:58	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1	S 	C2	S 		United States	US	Georgia	US-GA	Banks	US-GA-011		29			Homer Presbyterian Church, 133 Mason St, Homer	L4666162	P	34.3340433	-83.5003665	2016-06-02	17:30:00	obsr158314	S30046123	Traveling	P22	EBIRD	11	0.161		1	1		0	1	0			heard only (singing)	
URN:CornellLabOfOrnithology:EBIRD:OBS509750481	2017-06-09 19:25:43	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1	S 	C2	S 		United States	US	Georgia	US-GA	Banks	US-GA-011		29			GA-51 Hudson River Bridge, Homer	L3722220	P	34.3379718	-83.4876770	2017-06-09	19:16:00	obsr158314	S37495625	Stationary	P21	EBIRD	9			1	1		0	1	0			heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS937903868	2020-06-05 09:29:38	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			1190–1240 Quail Rd, Maysville US-GA 34.29530, -83.52836	L11625514	P	34.2953010	-83.5283590	2020-06-05	08:45:00	obsr345677	S70075223	Traveling	P22	EBIRD	40	1.263		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1179494233	2021-06-14 12:13:53.568036	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home at birding woods ( private)	L14161227	P	34.4777080	-83.5537310	2021-06-10	07:25:00	obsr1527982	S89932145	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1174087133	2022-02-16 20:57:25.252191	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home	L16804466	P	34.4779810	-83.5544800	2021-06-02	19:40:00	obsr1527982	S89508644	Traveling	P22	EBIRD	1001	9.656		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1182009849	2021-06-13 18:52:44.013922	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1	S7	C3	S7		United States	US	Georgia	US-GA	Banks	US-GA-011		29			Lake Russell (Banks Co.)	L11026228	H	34.4862040	-83.4986658	2021-06-13	07:25:00	obsr305241	S90144200	Stationary	P21	EBIRD	88			1	1		0	1	0		Campground loop A. Walk around the loop and coffee streamside.		
URN:CornellLabOfOrnithology:EBIRD:OBS1187462471	2021-06-22 10:59:46.614041	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				4					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home at birding woods ( private)	L14161227	P	34.4777080	-83.5537310	2021-06-22	09:13:00	obsr1527982	S90589537	Traveling	P22	EBIRD	3000	1.609		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1192606560	2021-06-30 15:42:38.350065	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			111 Grove Level Dr, Commerce US-GA (34.2618,-83.4835)	L15585458	P	34.2617960	-83.4835330	2021-06-30	15:41:00	obsr202592	S91033910	Stationary	P21	EBIRD	1			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1189287102	2022-02-15 08:17:49.382506	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				4					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home	L16804466	P	34.4779810	-83.5544800	2021-06-25	08:27:00	obsr1527982	S90744911	Traveling	P22	EBIRD	1200	9.656		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1191450422	2021-07-08 21:05:32.882799	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				3					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home at birding woods ( private)	L14161227	P	34.4777080	-83.5537310	2021-06-28	13:57:00	obsr1527982	S90933545	Traveling	P22	EBIRD	300	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1178253136	2021-07-08 21:51:21.593606	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home at birding woods ( private)	L14161227	P	34.4777080	-83.5537310	2021-06-08	08:52:00	obsr1527982	S89835998	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1394333966	2022-04-18 06:45:22.162792	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Banks	US-GA-011		29			home	L17783536	P	34.4776142	-83.5536728	2021-06-02	07:00:00	obsr2737274	S107228717	Traveling	P22	EBIRD	240	9.656		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1179055982	2022-02-16 20:57:05.087802	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				3					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Home	L16804466	P	34.4779810	-83.5544800	2021-06-09	12:46:00	obsr1527982	S89897335	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1466162000	2022-06-24 13:46:59.054761	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				3					United States	US	Georgia	US-GA	Banks	US-GA-011		29			home	L17783536	P	34.4776142	-83.5536728	2022-06-24	07:56:00	obsr2737274	S113680000	Traveling	P22	EBIRD	45	1.287		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1468140029	2022-06-27 07:57:38.545197	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Banks	US-GA-011		29			home	L17783536	P	34.4776142	-83.5536728	2022-06-27	07:51:00	obsr2737274	S113886125	Traveling	P22	EBIRD	5	0.080		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1449613152	2022-06-02 15:12:54.076297	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Banks	US-GA-011		29			home	L17783536	P	34.4776142	-83.5536728	2022-06-02	08:00:00	obsr2737274	S111969174	Traveling	P22	EBIRD	180	0.483		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1462955443	2022-06-19 18:27:51.645699	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				4					United States	US	Georgia	US-GA	Banks	US-GA-011		29			home	L17783536	P	34.4776142	-83.5536728	2022-06-19	18:29:00	obsr2737274	S113308954	Traveling	P22	EBIRD	30	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1463601017	2022-06-20 16:21:24.554306	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Banks	US-GA-011		29			Lake Russell (Banks Co.)	L11026228	H	34.4862040	-83.4986658	2022-06-20	14:36:00	obsr2737274	S113379346	Traveling	P22	EBIRD	90	0.966		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS200138616	2018-08-06 17:36:15	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2013-06-04	06:55:00	obsr183378	S14335268	Traveling	P22	EBIRD	230	19.151		1	1		0	1	0		Clagging.  I drove 6.9 miles and walked the trails for about 5.0 miles.		
URN:CornellLabOfOrnithology:EBIRD:OBS328915306	2021-04-01 04:40:58.028125	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Chateau Elan Nature Trail	L3751382	P	34.1020328	-83.8217139	2015-06-26	07:30:00	obsr189448	S24057301	Traveling	P22	EBIRD	45	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327109325	2015-06-17 11:55:45	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				X					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2015-06-14	16:00:00	obsr193318	S23923739	Traveling	P22	EBIRD	120	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS507003260	2018-08-04 15:03:35	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo State Park, Winder US-GA (33.9796,-83.7325)	L5917106	P	33.9795700	-83.7324500	2017-06-01	10:27:00	obsr585422	S37308692	Traveling	P22	EBIRD	92	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS510501776	2021-04-01 04:40:58.028125	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Barrow County	L1037698	P	34.0144322	-83.7207663	2017-06-12	07:00:00	obsr169157	S37547586	Traveling	P22	EBIRD	120	28.968		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS633602127	2021-04-01 04:40:58.028125	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Barrow County	L1037698	P	34.0144322	-83.7207663	2018-06-22	06:30:00	obsr169157	S46733897	Traveling	P22	EBIRD	60	16.093		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS777364492	2019-06-21 11:58:49	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2019-06-21	09:02:00	obsr146519	S57562753	Traveling	P22	EBIRD	115	10.313		1	1		0	1	0		By bike 		
URN:CornellLabOfOrnithology:EBIRD:OBS949100629	2021-03-24 09:27:44.229389	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			US-Georgia-Winder-18 Mimosa St - 34.001x-83.707	L4548104	P	34.0014976	-83.7068667	2020-06-27	09:01:00	obsr751253	S70905711	Stationary	P21	EBIRD	300			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS938177147	2021-03-19 03:33:32.769809	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			US-Georgia-Winder-18 Mimosa St - 34.001x-83.707	L4548104	P	34.0014976	-83.7068667	2020-06-05	17:26:00	obsr751253	S70094934	Stationary	P21	EBIRD	79			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS936780740	2021-03-24 09:27:44.229389	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			US-Georgia-Winder-18 Mimosa St - 34.002x-83.707	L4550633	P	34.0016390	-83.7069437	2020-06-02	17:44:00	obsr751253	S69993723	Stationary	P21	EBIRD	27			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS944367033	2021-03-25 19:48:59.853625	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			US-Georgia-Winder-18 Mimosa St - 34.001x-83.707	L4548104	P	34.0014976	-83.7068667	2020-06-17	18:06:00	obsr751253	S70547913	Stationary	P21	EBIRD	42			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS937445695	2020-06-04 10:19:37	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2020-06-04	08:00:00	obsr585422	S70041982	Traveling	P22	EBIRD	136	5.512		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS941492798	2021-03-24 09:27:44.229389	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				2					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2020-06-12	07:09:00	obsr345677	S70339118	Traveling	P22	EBIRD	101	3.925		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS945433750	2020-06-20 13:05:33	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Barrow	US-GA-013		29			Fort Yargo SP	L792119	H	33.9752891	-83.7280512	2020-06-20	06:54:00	obsr751253	S70627314	Traveling	P22	EBIRD	132	5.150		2	1		0	1	0				
